vc,dashboard_active_rows,db_subscriptions,db_positions,dashboard_commitment_sum,db_commitment_sum,dashboard_shares_sum,db_shares_sum,dashboard_ownership_sum,db_subscription_units_sum,db_position_units_sum,dashboard_spread_fee_sum,db_spread_fee_sum,dashboard_subscription_fee_sum,db_subscription_fee_sum,dashboard_bd_fee_sum,db_bd_fee_sum,dashboard_finra_fee_sum,db_finra_fee_sum,db_introductions,db_commissions,db_commission_sum,db_commission_spread_sum,zero_unit_subscriptions,zero_unit_positions,non_funded_subscriptions,currencies,dashboard_intro_name_count,db_intro_name_count,introducer_names_missing_in_db,introducer_names_extra_in_db
VC201,1,1,1,372237.5,372237.5,12408.0,12408.0,12408.0,12408.0,12408.0,24816.0,24816.0,11512.5,11512.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,USD,0,0,,
VC202,2,2,2,14999751.16,14999751.16,12874.0,12874.0,12874.0,12874.0,12874.0,3858224.08,3858224.08,324993.78,324993.78,0.0,0.0,0.0,0.0,14,42,105000.0,0.0,0,0,0,USD,2,2,,
VC203,19,19,16,25636509.24,25636509.24,618538.0,618538.0,618538.0,618538.0,618538.0,4283297.81,4283297.81,75235.27,75235.27,0.0,0.0,400805.45,400805.45,20,61,451042.31,0.0,0,0,0,USD,8,9,astra global limited; dimensional advisors r f lafferty co inc; old city capital renaissance; renaissance bridge capital llc oliver little; sakal advisory astra global limited,astral global limited; dimensional advisors; old city securities llc; oliver little; renaissance bridge capital llc; sakal advisory llc
VC206,11,11,9,14305532.5,14305532.5,29052.0,29052.0,29052.0,29052.0,29052.0,1651768.5,1651768.5,116680.57,116680.57,2500.0,2500.0,0.0,0.0,14,42,473766.53,0.0,0,0,0,USD,3,8,venture spring dimensional advisors,aeon inc; astral global limited; dimensional advisors; mervyn pereira; venture spring; visual sectors
VC207,25,25,24,12210820.0,12210820.0,28001.0,28001.0,28001.0,28001.0,28001.0,859049.0,859049.0,169996.2,169996.2,5008.75,5008.75,0.0,0.0,14,42,141932.1,0.0,0,0,0,USD,4,4,lafferty; renaissance,r f lafferty co inc; renaissance bridge capital llc
VC209,25,25,22,39499896.0,39499896.0,814734.0,814734.0,814734.0,814734.0,814734.0,8079471.16,8079471.16,80266.66,80266.66,0.0,0.0,0.0,0.0,37,113,704343.97,0.0,0,0,0,USD,9,9,aeon; bromley partners; lafferty; lafferty visual sectors; renaissance,aeon inc; bromley capital partners; r f lafferty co inc; renaissance bridge capital llc; visual sectors
VC210,2,2,2,45000.0,45000.0,226.0,226.0,226.0,226.0,226.0,3164.0,3164.0,1350.0,1350.0,0.0,0.0,0.0,0.0,2,6,3839.0,0.0,0,0,0,USD,1,1,,
VC211,1,1,1,315000.0,315000.0,1529.0,1529.0,1529.0,1529.0,1529.0,16666.1,16666.1,9450.0,9450.0,0.0,0.0,0.0,0.0,1,3,3622.5,0.0,0,0,0,USD,1,1,renaissance,renaissance bridge capital llc
VC215,19,19,15,15032122.0,15032122.0,85600.0,85600.0,80000.0,80000.0,80000.0,2191716.76,2191716.76,381503.5,381503.5,25606.8,25606.8,0.0,0.0,29,87,859333.13,25654.81,0,0,0,USD,5,5,anand; bromley capital infinyte club; bromley capital renaissance; hottinger ag bromley capital,hottinger ag; infinyte club private limited; renaissance bridge capital llc; set cap
